statvalue,statementid
Q1236466,3
Q1236807,1
Q123704,1
Q123737,23
Q123795,1
Q1240821,1
Q124192,1
Q1242875,1
Q124366,1
Q12444025,1
Q1247086,1
Q1247867,8
Q12482,5
Q1248914,1
Q1249634,1
Q1251001,1
Q1251271,1
Q1251441,13
Q12520160,1
Q1252304,1
Q12527050,1
Q1252773,4
Q12539,2
Q1254268,2
Q12549812,4
Q12562,1
Q12567,2
Q12573008,1
Q1259733,2
Q1260003,1
Q1260914,1
Q1261172,2
Q1261477,1
Q1262328,5
Q12631364,1
Q12632888,1
Q1264485,1
Q126645,1
Q126692,1
Q1267393,1
Q1268814,1
Q12688575,1
Q1269239,1
Q1269330,3
Q12695,1
Q1269627,2
Q1270388,2
Q12712978,2
Q12725,7
Q1272626,6
Q1273108,1
Q1274115,10
Q12741714,1
Q1274280,1
Q12752949,1
Q1275989,2
Q1276214,1
Q1276342,2
Q127645,6
Q1276941,3
Q127770,1
Q1277797,1
Q12786121,11
Q128003,1
Q128007,1
Q1280741,1
Q1281564,1
Q12816984,2
Q1282261,1
Q128257,1
Q12829182,1
Q1283,1
Q1283235,8
Q1283504,1
Q128367,2
Q128406,4
Q128418,1
Q128424,1
Q1284443,2
Q1284788,1
Q12859263,6
Q128593,4
Q12859380,2
Q12879877,4
Q12880215,3
Q12882818,13
Q12882940,3
Q12882943,1
Q12882968,1
Q1288392,1
Q12884555,4
Q1290382,1
Q12912864,1
Q129163,1
Q1292119,5
Q1292121,3
Q1292520,1
Q1293580,1
Q1294114,1
Q129426,2
Q1295040,1
Q129508,8
Q1296024,3
Q129757,1
Q1297985,2
Q12981895,1
Q1298380,1
Q129841,1
Q13031727,2
Q13031741,2
Q13033215,1
Q130403,1
Q130436,3
Q13048280,2
Q1305281,1
Q13057406,1
Q1307337,1
Q1308239,1
Q1308813,1
Q1308822,2
Q130912,1
Q130985,1
Q13099184,1
Q13100823,1
Q131062,1
Q131132,4
Q131133,1
Q1311395,1
Q131154,3
Q131175,2
Q131201,1
Q131214,8
Q131221,1
Q131226,2
Q131251,1
Q1313309,6
Q131361,1
Q13136163,1
Q1313852,5
Q131408,1
Q1314470,1
Q131449,3
Q131517,5
Q131524,21
Q1315251,1
Q1315624,1
Q1315779,2
Q1315911,2
Q1316667,13
Q13167641,1
Q131683,2
Q1316942,1
Q131767,1
Q131802,1
Q131925,2
Q13196750,1
Q1320276,2
Q1320428,7
Q13218212,11
Q132187,1
Q1321995,2
Q13220431,2
Q13221522,1
Q13222335,2
Q1322478,1
Q1323015,1
Q1323565,1
Q1323709,1
Q1323713,21
Q13258,1
Q1326028,1
Q1326089,1
Q132629,12
Q1326471,2
Q1326943,2
Q1326956,1
Q1327007,1
Q1327020,1
Q132783,1
Q1328068,1
Q1328323,10
Q132851,6
Q132874,2
Q132922,1
Q1329238,1
Q1329613,1
Q1329801,1
Q132987,1
Q1329925,3
Q1330003,1
Q133004,3
Q1330164,4
Q133128,1
Q133136,2
Q133153,1
Q1331684,1
Q1332542,2
Q133255,1
Q133327,1
Q133363,1
Q133454,1
Q133475,2
Q13365470,1
Q1337073,2
Q13370881,1
Q1337691,2
Q1339539,2
Q1339661,1
Q1339864,2
Q133993,1
Q13400856,1
Q13406837,4
Q13407997,1
Q1341382,1
Q1341429,2
Q1341510,1
Q13415392,3
Q13416790,2
Q1341685,2
Q13417770,1
Q1341831,1
Q13422881,3
Q13423122,2
Q13424340,1
Q13424378,5
Q13428326,1
Q1343202,1
Q134369,1
Q13440398,1
Q1344256,2
Q13446365,2
Q13446430,1
Q13446638,2
Q1345388,1
Q1345638,1
Q1346408,2
Q1346753,6
Q1346923,1
Q134737,24
Q1347572,3
Q13475961,3
Q134783,2
Q13479560,1
Q134847,1
Q1349660,2
Q13497,3
Q1349983,2
Q1350,8
Q1350035,1
Q135005,1
Q1350326,1
Q1350700,1
Q1351381,1
Q1352777,1
Q13527812,1
Q1353522,1
Q1354085,1
Q13551889,2
Q1356194,1
Q1357,2
Q13575304,2
Q1357543,1
Q1358,1
Q1359725,1
Q1361055,2
Q1361559,3
Q136174,1
Q1361758,1
Q13631330,1
Q1363153,1
Q13633597,1
Q13634888,1
Q13635778,1
Q1363741,3
Q1364,44
Q1364175,1
Q1364324,6
Q13643931,1
Q1364467,1
Q1364934,5
Q1365051,1
Q1365054,3
Q1366002,2
Q1366300,1
Q1366376,1
Q1367706,1
Q136783,1
Q1368367,1
Q1368455,1
Q1368743,1
Q13692,1
Q1369310,1
Q1369558,1
Q1369862,1
Q13703,1
Q137056,1
Q1371509,4
Q1373131,1
Q1375,1
Q1378235,3
Q1378470,3
Q1378498,2
Q1378776,1
Q1379116,3
Q1380,2
Q1384726,1
Q1385411,1
Q13876576,1
Q1388151,1
Q1391634,1
Q1392538,1
Q1394177,1
Q1394451,2
Q1394657,2
Q1395034,1
Q13955118,4
Q13959,2
Q1396667,2
Q1397302,1
Q1399980,1
Q140,3
Q1400189,2
Q1401536,1
Q1401605,1
Q14026181,1
Q1402739,1
Q1404101,1
Q1406,6
Q1406070,1
Q1406126,1
Q1406649,4
Q140686,32
Q1406909,2
Q1407120,2
Q1407830,1
Q14080,2
Q1408246,1
Q14083,14
Q14090321,1
Q14091,2
Q1409163,1
Q1409295,1
Q1409618,1
Q1409961,4
Q1410423,1
Q1411354,1
Q1411620,1
Q1412769,7
Q1412833,1
Q14130,2
Q1413128,1
Q1413614,1
Q1414322,1
Q1414672,1
Q1414816,1
Q1416279,1
Q1416547,1
Q1416588,1
Q14175758,1
Q1417626,1
Q1418057,1
Q1418690,1
Q1418712,1
Q1418791,1
Q1419194,2
Q1419356,1
Q1419626,3
Q1419660,2
Q142005,1
Q1420191,1
Q1420785,1
Q1422057,2
Q1422299,2
Q1422633,2
Q1422969,1
Q1423152,1
Q14231988,1
Q1424150,2
Q1424306,1
Q1424491,2
Q1424895,1
Q1425343,1
Q1425577,1
Q1426151,1
Q1426546,2
Q1426659,1
Q1426903,1
Q1427245,1
Q1427914,1
Q1427940,2
Q1428108,2
Q1428161,1
Q1428692,1
Q14290107,1
Q14290457,3
Q14290559,5
Q1429083,1
Q1430548,1
Q1430676,1
Q1430789,1
Q1430816,3
Q1431,1
Q1431026,5
Q1431305,1
Q1431311,1
Q1431327,2
Q143252,1
Q1432868,1
Q1433693,1
Q1434513,5
Q143504,1
Q1437401,1
Q1437688,1
Q14378,1
Q14385293,23
Q14387830,2
Q14390274,4
Q143977,4
Q1440407,1
Q1440626,1
Q1441983,2
Q1442403,1
Q1442923,2
Q1443621,1
Q1444571,4
Q1446173,1
Q1446290,6
Q1446512,4
Q144917,1
Q144964,2
Q14510042,1
Q1451046,1
Q14513759,1
Q1451575,1
Q14515951,1
Q14524107,1
Q145273,2
Q14539974,1
Q1454060,1
Q14545103,1
Q1455142,3
Q1455871,4
Q1455934,2
Q14565199,1
Q1457387,1
Q1457697,1
