"statvalue","noinstances"
"Q10499251",34
"Q10499303",2
"Q1049941",1
"Q10499647",1
"Q10499968",1
"Q105",1
"Q105000",43
"Q105006",1
"Q1050126",4
"Q10501308",2
"Q10501310",2
"Q1050132",23
"Q10501320",2
"Q10501606",1
"Q10501952",1
"Q1050259",74
"Q1050426",1
"Q1050567",1
"Q10505824",6
"Q1050739",1
"Q1050744",3
"Q1050840",139
"Q10508452",775
"Q10508453",400
"Q1050848",2
"Q10508484",2
"Q1050866",1
"Q1050906",16
"Q10509147",10
"Q10509615",1
"Q10509765",3
"Q1051067",86
"Q10511371",338
"Q10511455",1
"Q10512404",1
"Q10512405",1
"Q1051265",2
"Q105131",31
"Q10513445",1
"Q10513452",1
"Q10513727",2
"Q10514065",1
"Q1051411",2
"Q10514237",1
"Q10514513",1
"Q1051522",8
"Q1051581",153
"Q1051606",38
"Q1051620",1
"Q10517054",856
"Q105173",1
"Q1051772",6
"Q1051792",1
"Q105186",1
"Q105190",271
"Q10519294",10
"Q1052001",8
"Q10520688",4
"Q105210",53
"Q10521078",190
"Q1052281",1
"Q1052390",1
"Q1052426",12
"Q1052437",2
"Q1052575",5
"Q1052595",3
"Q1052621",11
"Q1052647",19
"Q105269",2
"Q10526932",1
"Q1052743",4
"Q1052804",9
"Q10528967",1
"Q1052919",5
"Q1052942",1
"Q1053079",2
"Q10532470",2
"Q1053399",1
"Q1053427",1
"Q1053463",47
"Q1053481",3
"Q10535314",1
"Q10535394",5
"Q10536056",1
"Q10536149",1
"Q1053630",19
"Q1053631",1
"Q10537307",2
"Q1053916",10
"Q1053933",1
"Q10539426",1
"Q1053956",4
"Q1053964",2
"Q1054011",1
"Q1054063",2
"Q10540834",4
"Q1054101",2
"Q1054115",1
"Q10541153",3
"Q1054134",1
"Q10541921",1
"Q105420",195
"Q1054240",1
"Q1054271",1
"Q1054291",1
"Q105439",1
"Q1054403",6
"Q10544122",1
"Q1054442",38
"Q1054444",4
"Q105447",75
"Q10545",1
"Q1054545",14
"Q1054574",1
"Q1054581",1
"Q10546297",2
"Q1054650",1
"Q10546617",1
"Q1054671",9
"Q10546851",5
"Q1054730",9
"Q10547419",1
"Q10547426",1
"Q1054760",20
"Q1054813",644
"Q10548373",6
"Q10548615",1
"Q1054898",6
"Q10549360",1
"Q10549487",2
"Q1054949",2
"Q10549564",1
"Q10549775",7
"Q10550013",1
"Q10550024",1
"Q1055028",27
"Q1055065",2
"Q10551043",1
"Q10551175",1
"Q10552196",1
"Q105522",1
"Q1055251",1
"Q1055271",3
"Q1055303",7
"Q1055307",48
"Q105533",3
"Q10553306",1
"Q10553309",11
"Q1055331",13
"Q1055465",245
"Q1055622",1
"Q1055701",2
"Q105580",2
"Q1055807",1
"Q1055894",9
"Q1055905",3
"Q1055909",1
"Q1055911",2
"Q1055974",2
"Q105611",6
"Q1056166",3
"Q1056289",1
"Q10563755",21
"Q1056391",3
"Q1056396",1
"Q1056408",6
"Q105650",1
"Q10565436",1
"Q10565770",3
"Q10565898",1
"Q10565932",106
"Q1056607",1
"Q10566551",1
"Q10567262",1
"Q105674",8
"Q10568834",1
"Q1057",14
"Q1057026",16
"Q10571400",10
"Q1057172",1
"Q1057179",8
"Q10571947",3
"Q10571983",1
"Q1057214",44
"Q10572388",1
"Q1057250",2
"Q105731",1186
"Q1057440",9
"Q1057504",8
"Q10576324",3
"Q10576877",1
"Q105769",4
"Q105784",2
"Q1057944",1
"Q1057954",2102
"Q1057968",30
"Q1058149",1
"Q1058236",1
"Q1058296",1
"Q1058387",23
"Q1058577",1
"Q10585845",1
"Q1058629",1
"Q10586368",1
"Q1058681",2
"Q1058719",2
"Q1058733",1
"Q1058741",1
"Q1058792",59
"Q1058795",6
"Q105880",1
"Q1058891",9
"Q10589",1
"Q1058914",346
"Q10589279",1
"Q10590071",1
"Q1059048",4
"Q1059167",7
"Q1059208",1
"Q1059232",5
"Q10593227",1
"Q1059324",133
"Q10593721",1
"Q1059407",29
"Q1059437",1
"Q10594592",1
"Q10594812",1
"Q10594991",2
"Q10595016",2
"Q1059569",5
"Q1059648",2
"Q1059659",19
"Q1059724",1
"Q1059740",3
"Q1059761",1
"Q1059791",8
"Q1059843",5
"Q105985",9
"Q1059863",5
"Q105999",470
"Q1059994",29
"Q1060062",2
"Q1060092",1
