s,g1
http://www.wikidata.org/entity/Q754031,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q7199563,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q2549029,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q308292,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q501571,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1571008,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1521260,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1729124,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q7003025,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1346753,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1065846,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1142806,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q101971,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1899576,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q748376,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q6817451,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1367706,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q3771629,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q574942,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q980926,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q193918,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q624497,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q224513,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q2329041,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q945225,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q4134457,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q340548,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q2697787,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q559210,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q6996973,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q917069,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q2592062,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q4223446,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q684045,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1455142,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q14541638,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1818307,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1549421,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q816422,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q692077,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q4746440,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q7113759,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q5384031,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q10265550,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q498902,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q446822,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1424491,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q3269477,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q590324,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation
http://www.wikidata.org/entity/Q1722542,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q1344255,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q169953,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q1637174,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q619671,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q160695,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q918118,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q1049298,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q707616,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q247830,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q673203,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q108158,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q1547362,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q2635510,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q863089,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q1212935,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
